0;1
1;0
2;3
4;5
6;7
8;0
9;8
10;11
12;8
13;14
15;13
14;13
13;15
8;12
5;4
16;17
17;16
18;19
19;20
6;21
22;23
24;25
26;7
25;16
27;24
4;28
29;5
30;31
29;13
11;32
17;16
33;31
25;24
28;13
34;10
35;36
9;37
15;29
30;38
39;40
41;42
3;2
43;11
44;20
9;39
31;40
28;4
3;45
21;5
25;24
46;22
16;25
39;33
6;47
26;46
21;48
46;7
34;49
42;41
23;38
15;12
50;16
24;25
3;51
13;28
48;21
52;53
16;37
21;52
15;36
42;9
32;18
17;34
54;37
16;17
30;26
55;20
30;18
6;47
31;33
24;18
55;7
11;50
48;56
35;57
6;7
48;58
44;32
41;1
19;18
20;6
5;53
12;36
31;24
32;27
44;59
18;30
16;25
42;17
31;30
12;39
2;51
24;18
7;53
28;35
48;4
26;30
18;24
46;38
18;24
32;44
2;41
25;16
39;40
8;51
44;60
15;61
32;62
63;15
0;9
1;2
5;29
10;17
11;43
4;48
20;19
20;60
16;50
20;44
23;61
22;46
6;20
7;6
27;11
37;54
37;16
33;37
33;25
33;39
13;15
11;25
36;12
36;51
15;63
38;23
38;46
38;40
38;46
40;38
40;61
39;64
46;26
40;38
54;42
17;54
24;27
18;32
50;10
25;33
51;8
51;36
3;35
51;2
52;6
53;22
53;7
53;5
37;9
37;33
35;3
36;35
12;15
7;46
36;15
25;11
24;31
40;31
51;3
61;40
61;64
63;28
61;15
20;55
5;21
35;63
40;39
64;12
38;30
7;6
